"","Title","Author","Content","Comments_No","Upvote_Percentage"
"11","A few private elementary schools in Incheon clarify that BJ Chul Goo's daughters have not been accepted to their schools"," AmieAmore","A few days ago, a popular streamer BJ Chul Goo has been under fire for using the late comedian Park Ji Sun's name as an insult.



The streamer made the situation worse when he said ""Oh I mistakenly said Park Ji Sun. I meant to say Park Mi Sun."" Many netizens criticized BJ Chul Goo as they pointed out that it was wrong for him to mention any comedian's name to use in a derogatory insult.



Comedian Park Mi Sun even took it to her own social media to call out BJ Chul Goo for his poor excuse and express her anger. 



Since then, there have been reports that BJ Chul Goo's two daughters were accepted into a private elementary school in Incheon. After the news of their acceptance, netizens and parents streamed to the elementary school's social media page to complain and petition against BJ Chul Goo's daughters attending the private school. Some parents even notified the school, they will not let their children attend the same school as the streamer's daughters.

Then on December 7th, some of the prestigious private elementary schools in Incheon began posting official statements on their official social media page. They asked parents and netizens to ""Stop making indiscriminate comments of criticisms without confirming the facts.""

One private elementary school stated, ""There is nothing special about our private school. Any healthy child in Korea can enter after being selected by the lottery system. Just as some netizens have clarified, there aren't any private schools that accept any student just because the parents are willing to pay money.""



This private elementary school clarified that BJ Chul Goo's children are not going to attend their school by stating, ""It is not true that BJ**'s daughters were admitted to our school. We were surprised that this speculation spread quickly as if it was true and there were many who believed in false information. Therefore, our school decided to post a statement.""



Another private elementary school in Incheon also posted their statement clarifying that the famous streamer's children are not attending their private school. They stated in bold letters, ""YouTuber **'s child did not get admission into our school.""

BJ Chul Goo's wife, WaeJilHye, who is also a streamer revealed on her YouTube channel that she will soon be sending their children to elementary school and revealed they had gotten interviewed to be accepted in private school.BJ Chul Goo's wife, WaeJilHye said in a video, ""there are about five private elementary schools in Incheon, and there are four we can send our kids to because one of them is too far.""She talked about the interview process of being accepted into the private schools and revealed that her children were accepted into one private elementary school through a lot pick. WaeJilHye stated, ""I called a friend to ask if the school that my daughter was accepted was good and she said it was so I decided to send her there. I don't know if she'll study well there but I want to send her to a good elementary school so my daughter can find what she wants to do.""","30","85%"
"12","Chinese netizens say they will boycott 'Running Man,' attacking Korean entertainment once again"," AmieAmore","The Chinese netizens that attacked the idol group BTS by taking issue with the remarks RM made at the 'Van Fleet Awards,' is now taking issue with the Korean entertainment show 'Running Man.'



On December 7th, a series of photos were posted by Chinese netizens on Weibo, the most popular Chinese social media platform similar to Twitter. The Chinese netizens complained that 'Running Man' violated the one principle that China has and posted photos of a board game played by the cast members. The board game is called Blue Marble, similar to the board game Monopoly in which the players can buy land and property in cities around the world.



The Chinese netizens took issue that Taipei, the capital of Taiwan, was given a separate tile from China's Beijing, as these Chinese netizens claim that Taiwan is part of China. There were a series of comments left by Chinese netizens saying they will boycott 'Running Man' along with photos showing that they deleted the show file from their watch list. The abbreviation of the show 'Running Man' trended in sixth place on Weibo as more Chinese netizens commented on the issue.



The Korean entertainment industry has become a target of Chinese netizens this year. In October, BTS was targeted as they received an award for their contributions to South Korean-U.S relations. Chinese netizens took issue with RM's statement of the two nations, saying, ""We will always remember the history of pain that our two nations shared together and the sacrifices of the countless men and women."" Chinese netizens attacked the group saying BTS did not show respect to the Chinese soldiers killed in the Korean War and the group disrespected the Chinese dignity. Last month, there was a flurry of criticism towards BLACKPINK in China over the fact that BLACKPINK members came in contact with pandas without gloves.

Korean netizens have expressed their anger on various online communities about this matter as they commented, ""These Chinese netizens are watching 'Running Man' illegally anyway. We don't care if Chinese people don't watch the show,"" ""Yeah, don't watch our show,"" ""Yeah, buzz off,"" ""Don't watch our shows and make a copied 'Running Man' show,"" ""They act like they affect the show by not watching or something, lol"" and ""Why are they so annoying?""","233","71%"
"13","Chung Ha confesses her anxieties about taking a break and why she works so hard"," AmieAmore","On the first episode of Mnet's 'Running Mates' that aired on December 9th, the members of the running crew gathered for the first time to talk about their innermost thoughts.



In the episode, Sunmi, Hani, YooA from Oh My Girl, Chung Ha, and Chuu from LOONA spent the whole day together as they ran, went food shopping, and cooked. All the girls became close to one another instantly as they spent an enjoyable time. At the end of the episode, the girls wrapped up the day as they recorded their daily running journals and sat down to have a heart to heart talk with one another.While talking, Chung Ha confessed the hard times she has experienced during her music career. Chung Ha confessed her reasons for working so hard by saying, ""I've heard this so many times, 'You have a lot on your mind? that means you have a lot of time. That's what it means to have time. Other people don't have time to think, and they just practice and face head-on.' So I thought, if I have a lot on my mind, that means I have a lot of time. I should just run without thinking and then I feel a sense of doubt. But then when I feel that way, I would think, 'I have too much leisure.'""



Chung Ha explained, ""There were times I would go perform at events day and night, film advertisements, then go abroad to perform, and do a live broadcast. There would be times that I would repeat this for a month without rest. I told myself, 'Don't think this is tiring and hard. This is something to be grateful for.' I always thought work was first since if I hurt when I dance, it would get better soon. I thought, 'I can't be lazy, or I can't protect my mom. If I stop, I will be dismissed.'"" and confessed her anxieties about taking a break.

Hani empathized with Chung Ha saying, ""It's like feeling that the leisure is laziness, so you have the feeling that you can't have time on your hands. You get obsessed with working and can't stop. I felt like that until I thought I could die like this. So I really thought I was in a dangerous state when I was like that.""

Chung Ha continued to speak about her condition, explaining she took a test to analyze her subconscious thoughts. She explained, ""I took a subconscious test, the first thing that came up on my sub-conscience is that I want to feel like I'm breathing. After that is, I want to make music. I think it became difficult for me because I want to take a break and stop, but I can't at the same time,"" and began shedding tears.





Hani comforted Chung Ha, saying, ""How can a person keep running?"" Hani explained during an interview, ""My heart hurts because I feel like I'm seeing my old self. I was really upset."" 



Chung Ha explained how she was being healed while running with the crew, saying, ""I kept running and working restlessly because I didn't want to fall behind. But then I felt I wanted to feel like I'm breathing and not feel anxious.""

","20","87%"
"14","A famous Twitch streamer trends worldwide for saying ""Dynamite by K-Pop"""," AmieAmore","On December 9th, a famous Twitch streamer Tommy made his name trend worldwide as he said ""Dynamite by K-pop"" in front of 250,000 viewers.



Many netizens couldn't help but laugh at this simple happening as the streamer probably meant to say ""Dynamite by BTS"" while streaming his gameplay. He was playing Minecraft with other streamers via voice chat, to which one streamer yelled out, ""By K-pop?! that's not even the band! What the heck is wrong with you! K-Pop is the genre! like 'Party USA' by Pop!"" making viewers grab their bellies in laughter.



now who in the hell is dynamite by KPOP ????? 😭pic.twitter.com/wJNhZHCsjR

Since the streaming took place, many Twitter users have shared the video and have commented on their reaction to the popular streamer. To many netizens' surprise, BTS fans were not as triggered by the issue but rather made jokes about the situation.



We’re not triggered lmao this is funny asfk💀💀

watch bts change the band name to ""kpop""

his response is a mood WHY KPOP

He was so close yet so far 😔😔","25","69%"
"15","Netizens call for EXO's Chanyeol to withdraw from new season of 'Laws of the Jungle'"," germainej","Netizens are calling for EXO's Chanyeol to withdraw from the new season of 'Laws of the Jungle'.Chanyeol, Oh My Girl's Arin, Gary, actress Go Jun Hee, and more were confirmed for the upcoming season of the SBS reality series, but netizens are calling for the EXO member to withdraw following his cheating controversy. The online message board for SBS' 'Laws of the Jungle' is being flooded with requests, such as ""I don't want to see celebrities who have controversial private lives,"" ""Please edit Chanyeol out of the broadcast,"" ""Please make him withdraw,"" and more.The producers of 'Laws of the Jungle' and Chanyeol's label SM Entertainment have yet to respond. 'Laws of the Jungle' in Ulleung-do premieres this weekend on December 12 at 8:55 PM KST.What are your thoughts on the requests for Chanyeol to leave the 'Laws of the Jungle' cast?","176","65%"
"16","BLACKPINK, Seventeen, NCT, TWICE, TOMORROW x TOGETHER, & more receive Gaon certifications this month"," beansss","

Gaon chart has updated its monthly certifications for the month of December, featuring newly added artists, albums, and singles in album sales, downloads, and streaming!



This month, three albums have been certified the monumental MILLION certification for surpassing 1 million copies in sales: BLACKPINK's 'The Album', NCT 2020's 'Resonance Pt. 1', and Seventeen's '; [Semicolon]'. In addition, two albums have been certified platinum for surpassing 250,000 copies: TOMORROW x TOGETHER's 'Minisode 1: Blue Hour' and TWICE's 'Eyes Wide Open'. 



In the downloads category, Yang Da Il's ""Confession"" and Jannabi's ""For Lovers Who Hesitate"" have been certified Platinum for surpassing 2.5 million downloads. In the streaming category, Jang Bum Joon's ""Your Shampoo Scent In The Flowers"" has been certified Double Platinum, for surpassing 200 million streams. 



Congratulations to all!","23","79%"
"17","Top 10 female idols loved by lesbians"," AmieAmore","Not too long ago, a Korean YouTuber took a poll of her audience and shared the results on her channel jiju#.



Jiju# is a popular Korean lesbian YouTuber who gained recognition for her honest talks of being a lesbian in South Korea, a quite conservative country. Jiju# has uploaded various content talking about the LGBTQ+ community to stand against prejudice in the effort to bring happiness to all the LGBTQ+ community in Korea.



Last month, she decided to do a video on the top 10 female celebrities loved by lesbians and complied the top ten female idol members voted by the lesbian community. A total of 833 people participated in the poll, voting for their top female idol members.



10th place - Cosmic Girls' Seola



9th place - MAMAMOO's Whee In



8th place - MAMAMOO's Moon Byul



7th place - Girls' Generation's Taeyeon



6th place - Red Velvet's Seulgi



5th place - (G)I-DLE's Shuhua



4th place - TWICE's Sana



3rd place - SeSoNeon's Soyoon



2nd place - IU



1st place - (G)I-DLE's Soojin","79","73%"
"18","Former 4minute member Gayoon's brother passes away"," germainej","Former 4minute member Gayoon's brother has passed away.On December 9, reports revealed Gayoon's older brother had passed away after a long struggle fighting a chronic disease. Her label Yuleum Entertainment stated, ""Heo Gayoon's brother passed away on the 8th. The funeral procession will be on the 10th.""The label continued, ""Gayoon's brother had a chronic illness and recently passed away as it worsened. It has nothing to do with COVID-19. The bereaved family, including Gayoon, are standing by at the mortuary in great sorrow. The funeral will be attended by close relatives and acquaintances.""In other news, Gayoon signed with Yuleum Entertainment this past February. Condolences to Gayoon and her family. ","39","99%"
"19","""Oh My Girl definitely deserved an award,"" Netizens wonder why these four groups didn't receive any awards at the '2020 MAMA'"," AmieAmore","The '2020 Mnet Asian Music Awards (MAMA)' took place on December 6th in which many artists were able to take home awards.



Of course, there were those who were not able to take home any award but attended the ceremony. Netizens began discussing in an online community about the four idol groups who attended the 2020 MAMA but did not receive any awards.



(G)I-DLE, Oh My Girl, Stray Kids, and The Boyz were the four groups many netizens were surprised to see not receive an award at this year's MAMA. Many netizens stated they thought these groups would take at least one award home.



Netizens commented, ""Didn't Oh My Girl do well with their comeback? I thought their album was really good,"" ""MAMA invites artists and doesn't give them awards,"" ""Oh My Girl definitely deserved an award this year,"" ""The artists just attend and perform so they can build up experience,"" ""Oh My Girl and (G)I-DLE should have gotten an award,"" ""They shouldn't invite the groups if they aren't going to give them an award,"" and ""I'm surprised a JYP artist didn't get anything.""","77","85%"
"20","These are the most-talked about K-Pop MVs of 2020 on K-fan community platforms"," beansss","

According to netizens on one popular K-Pop fan community, these 5 MVs below were the most-talked about K-Pop MVs of 2020 among various fandoms! These MVs were notable for consistently being talked about through various community postings, referenced when discussing good quality MVs, and also widely considered MVs with great concepts which complimented their songs. 



See which MVs made the list! (They are in no particular order.)













































Fans commented, 



...and more! What did you think of the MVs listed above?","52","82%"
"21","2020 Mnet Asian Music Awards under fire for making idols wait in the parking lot while giving actors private waiting rooms"," AmieAmore","The '2020 Mnet Asian Music Awards (MAMA)' has been under fire as they are suspected of discriminating between actors and singers.



The controversy began as various photos from the '2020 MAMA' were posted in many online communities. After the photos were released, netizens stated that MAMA was discriminating towards singers as there were a few artists who were not given a waiting room and had to wait in the parking lot.



One netizen posted on an online community with the title ""the waiting room prepared by MAMA for actors vs. for singers"" and posted multiple photos taken from behind the award show's scenes.



The photos showed actors and actresses given private waiting rooms with their names on the door while there were some idol artists seen getting their hair and makeup done in the car as they waited in the parking lot. After seeing the photos, other netizens agreed, saying, ""This is discrimination because actors were given waiting rooms, but singers were not.""  Some posted photos showed actors enjoying catering and taking photos of each other in the waiting room, which caused netizens to be more angered.

In addition, Seventeen posted photos of Jun waiting for the 2020 MAMA in the car on their official Twitter account. GOT7's Youngjae also released a photo of him waiting in the car at the award ceremony. Singers were seen in the parking lot standing outside while waiting for their turn.



Netizens who came across the news of this controversy commented, ""This is too much, they're making money off the singers,"" ""This is an award ceremony for singers, they should take care of the singers more,"" ""Are the actors and actresses some royal family or something?"" ""The singers came to receive awards. I think giving waiting rooms to singers might be much better. It's a music award show after all,"" and ""Is being an actor and actress that special?""

","107","91%"
"22","Aespa's Karina goes through an image change with a slight variation of her hairstyle"," AmieAmore","Aespa's leader Karina went through an image change with the slight differentiation in her hairstyle.



Karina added cute side bangs that cover the side of her forehead slightly, showing off a fairy-like innocent beauty. 



On December 8th, Aespa appeared on SBS MTV's 'The Show' as they showed off their performance of ""Black Mamba"". 



Aespa was able to place their names as the nominees for the first place for this week's show alongside NCT U. 



During the episode, Aespa showed off a charismatic performance as netizens realized a slight difference in Karina's vibe. Karina was always seen with long straight hair without bangs but this time, she showed off a lovely vibe with curls in her hair along with light bangs.

With her charming voice and strong dance performance, she was able to show off a dynamic side to her charms as she was able to display both the charismatic sexy charms along with the lovely innocent charms.



Many fans fell deeper in love with Karina as many took interest in her new hairdo.



It seemed Karina also like her new hairstyle as she left a few words about her hair on Aespa's official Twitter. Karina said, ""I really like my hair all curly today, I'll work hard until the day we can meet each other.""



via GIPHY

via GIPHY

Meanwhile, Aespa made their debut with their single album 'Black Mamba' on the 17th of last month. They have already gained global popularity as their debut song entered Billboard's Global Charts top 100.","18","57%"
"23","BREAKING Kim Chung Ha tests positive for COVID-19"," olmal","Kim Chung Ha has tested positive for COVID-19.

SPOTV News reported that on December 7th, Kim Chung Ha received a positive diagnosis after she was notified as someone who came into close contact with a confirmed COVID-19 case. The label has yet to release an official statement, however, it seems like there will be an inevitable delay to her comeback promotions. 

Get well soon, Chung Ha.



Update: MNH Entertainment has released the following statement on Kim Chung Ha's fan cafe. ""This is MNH Entertainment. 

We are writing to notify you that our artist Chungha has tested positive for COVID-19.

Chungha recently found out she had come into close contact with a confirmed case and voluntarily got tested, which turned out to be positive on the morning of December 7th. 

Chungha halted all of her activities and immediately went into self-quarantine, and she is acting in accordance with the government guidelines.

Our artists, staff, and employees who have crossed paths with Chungha have been tested or will be tested, and we will follow up with the necessary measures once we confirm the results. 

The company will disinfect the entire company building and perform preemptive general testings to actively cooperate with government policies. We promise to do our best at managing all of our artists.""



","78","92%"
"24","Girls' Generation's YoonA joins '2020 MBC Gayo Daejejeon' MC lineup alongside Kim Seon Ho & Jang Sung Kyu"," germainej","Girls' Generation's YoonA has joined the '2020 MBC Gayo Daejejeon' host lineup!After actor Kim Seon Ho was previously confirmed as a host, YoonA and Jang Sung Kyu will be joining him for the music festival. This year marks the Girls' Generation member's sixth consecutive year hosting the '2020 MBC Gayo Daejejeon' since 2015, and Jang Sung Kyu's second year in a row.The '2020 MBC Gayo Daejejeon' is set to air on December 31 KST. Details like the performer lineup have yet to be revealed.Stay tuned for updates on MBC's upcoming music festival.","52","88%"
